step,epoch,epoch_step,loss,learn_rate
1501,1,1501,0.1003672,5e-06
2001,1,2001,0.1006222,5e-06
2501,1,2501,0.1048173,5e-06
3001,1,3001,0.1301275,5e-06
3501,1,3501,0.1034474,5e-06
4001,1,4001,0.0971719,5e-06
4501,1,4501,0.0742218,5e-06
5001,1,5001,0.1105599,5e-06
5501,1,5501,0.0784443,5e-06
6001,1,6001,0.1088313,5e-06
6501,1,6501,0.0425956,5e-06
7001,1,7001,0.1042491,5e-06
7501,1,7501,0.1157043,5e-06
8001,1,8001,0.0555726,5e-06
8501,1,8501,0.0611453,5e-06
9001,1,9001,0.0914748,5e-06
9501,1,9501,0.1119491,5e-06
10001,1,10001,0.0875188,5e-06
10501,1,10501,0.1383642,5e-06
11001,1,11001,0.0959792,5e-06
11501,1,11501,0.0716490,5e-06
12001,1,12001,0.1425091,5e-06
12501,1,12501,0.0693168,5e-06
13001,2,217,0.0842120,5e-06
13501,2,717,0.0967822,5e-06
14001,2,1217,0.0926269,5e-06
14501,2,1717,0.0910502,5e-06
15001,2,2217,0.0824073,5e-06
15501,2,2717,0.0802083,5e-06
16001,2,3217,0.1060888,5e-06
16501,2,3717,0.1037239,5e-06
17001,2,4217,0.0571295,5e-06
17501,2,4717,0.1071818,5e-06
18001,2,5217,0.1007572,5e-06
18501,2,5717,0.0631046,5e-06
19001,2,6217,0.1078634,5e-06
19501,2,6717,0.1330892,5e-06
20001,2,7217,0.1224383,5e-06
20501,2,7717,0.0863818,5e-06
21001,2,8217,0.0619793,5e-06
21501,2,8717,0.0881125,5e-06
22001,2,9217,0.1198274,5e-06
22501,2,9717,0.1272772,5e-06
23001,2,10217,0.1072840,5e-06
23501,2,10717,0.1026704,5e-06
24001,2,11217,0.0823920,5e-06
24501,2,11717,0.0615515,5e-06
25001,2,12217,0.1212078,5e-06
25501,2,12717,0.1329028,5e-06
26001,3,433,0.0855314,5e-06
26501,3,933,0.1341536,5e-06
27001,3,1433,0.0863978,5e-06
27501,3,1933,0.1029908,5e-06
28001,3,2433,0.0789150,5e-06
28501,3,2933,0.0656611,5e-06
29001,3,3433,0.1300210,5e-06
29501,3,3933,0.0741793,5e-06
30001,3,4433,0.0736661,5e-06
30501,3,4933,0.0372841,5e-06
31001,3,5433,0.1439989,5e-06
31501,3,5933,0.0783416,5e-06
32001,3,6433,0.0881622,5e-06
32501,3,6933,0.0980770,5e-06
33001,3,7433,0.0895667,5e-06
33501,3,7933,0.1128594,5e-06
34001,3,8433,0.0922078,5e-06
34501,3,8933,0.0939166,5e-06
35001,3,9433,0.0714414,5e-06
35501,3,9933,0.0761568,5e-06
36001,3,10433,0.1064731,5e-06
36501,3,10933,0.0919254,5e-06
37001,3,11433,0.1355171,5e-06
37501,3,11933,0.1268883,5e-06
38001,3,12433,0.0715474,5e-06
38501,4,149,0.0797890,5e-06
39001,4,649,0.1093813,5e-06
39501,4,1149,0.0936785,5e-06
40001,4,1649,0.1362703,5e-06
40501,4,2149,0.0666456,5e-06
41001,4,2649,0.0716157,5e-06
41501,4,3149,0.0525121,5e-06
42001,4,3649,0.0738470,5e-06
42501,4,4149,0.1354060,5e-06
43001,4,4649,0.0689801,5e-06
43501,4,5149,0.1231579,5e-06
44001,4,5649,0.0846719,5e-06
44501,4,6149,0.1012880,5e-06
45001,4,6649,0.0588719,5e-06
45501,4,7149,0.0985920,5e-06
46001,4,7649,0.0723684,5e-06
46501,4,8149,0.1087052,5e-06
47001,4,8649,0.0733617,5e-06
47501,4,9149,0.1510105,5e-06
48001,4,9649,0.1080161,5e-06
48501,4,10149,0.0752023,5e-06
49001,4,10649,0.1093064,5e-06
49501,4,11149,0.0795210,5e-06
50001,4,11649,0.0724241,5e-06
50501,4,12149,0.1064234,5e-06
51001,4,12649,0.1190280,5e-06
51501,5,365,0.0902898,5e-06
52001,5,865,0.1058138,5e-06
52501,5,1365,0.1317038,5e-06
53001,5,1865,0.1139586,5e-06
53501,5,2365,0.1083854,5e-06
54001,5,2865,0.0753897,5e-06
54501,5,3365,0.0915877,5e-06
55001,5,3865,0.1314750,5e-06
55501,5,4365,0.1062423,5e-06
56001,5,4865,0.0833630,5e-06
56501,5,5365,0.0812133,5e-06
57001,5,5865,0.1176628,5e-06
57501,5,6365,0.0836322,5e-06
58001,5,6865,0.1041172,5e-06
58501,5,7365,0.1017066,5e-06
59001,5,7865,0.0930269,5e-06
59501,5,8365,0.0923872,5e-06
60001,5,8865,0.0672091,5e-06
60501,5,9365,0.0847461,5e-06
61001,5,9865,0.0665864,5e-06
61501,5,10365,0.1099551,5e-06
62001,5,10865,0.0894144,5e-06
62501,5,11365,0.0823586,5e-06
63001,5,11865,0.1289558,5e-06
63501,5,12365,0.0967584,5e-06
64001,6,81,0.1232602,5e-06
64501,6,581,0.0726018,5e-06
65001,6,1081,0.0877077,5e-06
65501,6,1581,0.0900395,5e-06
66001,6,2081,0.0989445,5e-06
66501,6,2581,0.0916586,5e-06
67001,6,3081,0.0988037,5e-06
67501,6,3581,0.1293102,5e-06
68001,6,4081,0.0891142,5e-06
68501,6,4581,0.1216200,5e-06
69001,6,5081,0.0887596,5e-06
69501,6,5581,0.0619754,5e-06
70001,6,6081,0.0943933,5e-06
70501,6,6581,0.1366273,5e-06
71001,6,7081,0.1003621,5e-06
71501,6,7581,0.0879737,5e-06
72001,6,8081,0.1168622,5e-06
72501,6,8581,0.1202876,5e-06
73001,6,9081,0.1006815,5e-06
73501,6,9581,0.0864811,5e-06
74001,6,10081,0.0806447,5e-06
74501,6,10581,0.1141863,5e-06
75001,6,11081,0.0892664,5e-06
75501,6,11581,0.0576838,5e-06
76001,6,12081,0.0918887,5e-06
76501,6,12581,0.0750455,5e-06
77001,7,297,0.0845871,5e-06
77501,7,797,0.0877251,5e-06
78001,7,1297,0.1049601,5e-06
78501,7,1797,0.0649049,5e-06
79001,7,2297,0.0870964,5e-06
79501,7,2797,0.0778896,5e-06
80001,7,3297,0.1311613,5e-06
80501,7,3797,0.0850964,5e-06
81001,7,4297,0.0905912,5e-06
81501,7,4797,0.1023335,5e-06
82001,7,5297,0.0756919,5e-06
82501,7,5797,0.0477787,5e-06
83001,7,6297,0.0970182,5e-06
83501,7,6797,0.0840548,5e-06
84001,7,7297,0.1191885,5e-06
84501,7,7797,0.0942880,5e-06
85001,7,8297,0.1189339,5e-06
85501,7,8797,0.0759361,5e-06
86001,7,9297,0.0843477,5e-06
86501,7,9797,0.0912295,5e-06
87001,7,10297,0.1267003,5e-06
87501,7,10797,0.1315804,5e-06
88001,7,11297,0.0786746,5e-06
88501,7,11797,0.0871824,5e-06
89001,7,12297,0.0804856,5e-06
89501,8,13,0.1266930,5e-06
90001,8,513,0.0998032,5e-06
90501,8,1013,0.0842180,5e-06
91001,8,1513,0.0930136,5e-06
91501,8,2013,0.0791329,5e-06
92001,8,2513,0.1165258,5e-06
92501,8,3013,0.1173638,5e-06
93001,8,3513,0.0889878,5e-06
93501,8,4013,0.1094833,5e-06
94001,8,4513,0.0668583,5e-06
94501,8,5013,0.0576725,5e-06
95001,8,5513,0.0853050,5e-06
95501,8,6013,0.0831490,5e-06
96001,8,6513,0.1382556,5e-06
96501,8,7013,0.1247586,5e-06
97001,8,7513,0.1214453,5e-06
97501,8,8013,0.0831382,5e-06
98001,8,8513,0.0642046,5e-06
98501,8,9013,0.0954704,5e-06
99001,8,9513,0.1089630,5e-06
99501,8,10013,0.0809573,5e-06
100001,8,10513,0.0823850,5e-06
