step,epoch,epoch_step,loss,learn_rate
1,1,1,0.0000000,5e-06
501,1,501,0.1406253,5e-06
1001,1,1001,0.1336119,5e-06
1501,1,1501,0.1356918,5e-06
2001,1,2001,0.1357075,5e-06
2501,1,2501,0.1348191,5e-06
3001,1,3001,0.1346418,5e-06
3501,1,3501,0.1336042,5e-06
4001,1,4001,0.1338494,5e-06
4501,1,4501,0.1322726,5e-06
5001,1,5001,0.1311792,5e-06
5501,1,5501,0.1314157,5e-06
6001,1,6001,0.1311267,5e-06
6501,1,6501,0.1316919,5e-06
7001,1,7001,0.1315062,5e-06
7501,1,7501,0.1317146,5e-06
8001,1,8001,0.1316206,5e-06
8501,1,8501,0.1316563,5e-06
9001,1,9001,0.1315355,5e-06
9501,1,9501,0.1310626,5e-06
10001,1,10001,0.1310641,5e-06
10501,1,10501,0.1309585,5e-06
11001,1,11001,0.1310395,5e-06
11501,1,11501,0.1313050,5e-06
12001,1,12001,0.1312652,5e-06
12501,1,12501,0.1307170,5e-06
13001,1,13001,0.1309969,5e-06
13501,1,13501,0.1303851,5e-06
14001,1,14001,0.1305656,5e-06
14501,1,14501,0.1303425,5e-06
15001,1,15001,0.1304655,5e-06
15501,1,15501,0.1305663,5e-06
16001,1,16001,0.1302892,5e-06
16501,1,16501,0.1303780,5e-06
17001,1,17001,0.1302950,5e-06
17501,1,17501,0.1304636,5e-06
18001,1,18001,0.1304890,5e-06
18501,1,18501,0.1304381,5e-06
19001,1,19001,0.1309374,5e-06
19501,1,19501,0.1306121,5e-06
20001,1,20001,0.1308818,5e-06
20501,1,20501,0.1309044,5e-06
21001,1,21001,0.1313927,5e-06
21501,1,21501,0.1313882,5e-06
22001,1,22001,0.1314797,5e-06
22501,1,22501,0.1310735,5e-06
23001,1,23001,0.1313668,5e-06
23501,1,23501,0.1314255,5e-06
24001,1,24001,0.1318098,5e-06
24501,1,24501,0.1319883,5e-06
25001,1,25001,0.1322794,5e-06
25501,1,25501,0.1322558,5e-06
26001,1,26001,0.1321875,5e-06
26501,1,26501,0.1322877,5e-06
27001,1,27001,0.1322362,5e-06
27501,1,27501,0.1324433,5e-06
28001,1,28001,0.1327016,5e-06
28501,1,28501,0.1330867,5e-06
29001,1,29001,0.1334758,5e-06
29501,1,29501,0.1335078,5e-06
30001,1,30001,0.1337082,5e-06
30501,1,30501,0.1338941,5e-06
31001,1,31001,0.1339862,5e-06
31501,1,31501,0.1344478,5e-06
32001,1,32001,0.1348481,5e-06
32501,1,32501,0.1351835,5e-06
33001,1,33001,0.1355953,5e-06
33501,1,33501,0.1358103,5e-06
34001,1,34001,0.1360856,5e-06
34501,1,34501,0.1364238,5e-06
35001,1,35001,0.1366434,5e-06
35501,1,35501,0.1369594,5e-06
36001,1,36001,0.1372567,5e-06
36501,1,36501,0.1374591,5e-06
37001,1,37001,0.1376905,5e-06
37501,1,37501,0.1379267,5e-06
38001,1,38001,0.1382255,5e-06
38501,1,38501,0.1385507,5e-06
39001,1,39001,0.1390785,5e-06
