step,epoch,epoch_step,loss,learn_rate
1,1,1,0.0019595,0.005
501,1,501,0.1302924,0.005
1001,1,1001,0.0583019,0.005
1501,1,1501,0.1327986,0.005
2001,1,2001,0.0944178,0.005
2501,1,2501,0.1007454,0.005
3001,1,3001,0.1251485,0.005
3501,1,3501,0.1262126,0.005
4001,2,1,0.1306397,0.005
4501,2,501,0.1269425,0.005
5001,2,1001,0.1258050,0.005
5501,2,1501,0.0872739,0.005
6001,2,2001,0.0881826,0.005
6501,2,2501,0.0974260,0.005
7001,2,3001,0.1264180,0.005
7501,2,3501,0.0723161,0.005
8001,3,1,0.0880229,0.005
8501,3,501,0.0989663,0.005
9001,3,1001,0.0846992,0.005
9501,3,1501,0.1070484,0.005
10001,3,2001,0.1278592,0.005
10501,3,2501,0.0739581,0.005
11001,3,3001,0.1444450,0.005
11501,3,3501,0.0766170,0.005
12001,4,1,0.1415260,0.005
12501,4,501,0.1034308,0.005
13001,4,1001,0.1385412,0.005
13501,4,1501,0.1505985,0.005
14001,4,2001,0.0891490,0.005
14501,4,2501,0.0938493,0.005
15001,4,3001,0.0803015,0.005
15501,4,3501,0.0612350,0.005
16001,5,1,0.0946164,0.005
16501,5,501,0.1173740,0.005
17001,5,1001,0.1408847,0.005
17501,5,1501,0.1013883,0.005
18001,5,2001,0.1222563,0.005
18501,5,2501,0.1330835,0.005
19001,5,3001,0.0829752,0.005
19501,5,3501,0.0810109,0.005
20001,6,1,0.1683018,0.005
20501,6,501,0.1064264,0.005
21001,6,1001,0.1044690,0.005
21501,6,1501,0.1601470,0.005
22001,6,2001,0.1437478,0.005
22501,6,2501,0.0847388,0.005
23001,6,3001,0.1165070,0.005
23501,6,3501,0.1360269,0.005
24001,7,1,0.1238275,0.005
24501,7,501,0.1167251,0.005
25001,7,1001,0.1128205,0.005
25501,7,1501,0.1547669,0.005
26001,7,2001,0.1091092,0.005
26501,7,2501,0.1387053,0.005
27001,7,3001,0.1113788,0.005
27501,7,3501,0.1120325,0.005
28001,8,1,0.1744133,0.005
28501,8,501,0.1358002,0.005
29001,8,1001,0.1324529,0.005
29501,8,1501,0.2184796,0.005
30001,8,2001,0.1785059,0.005
30501,8,2501,0.1229818,0.005
31001,8,3001,0.0969246,0.005
31501,8,3501,0.0638331,0.005
32001,9,1,0.1291149,0.005
32501,9,501,0.1473471,0.005
33001,9,1001,0.1082653,0.005
33501,9,1501,0.0764520,0.005
34001,9,2001,0.1491098,0.005
34501,9,2501,0.1049089,0.005
35001,9,3001,0.1383427,0.005
35501,9,3501,0.1247450,0.005
36001,10,1,0.0864631,0.005
36501,10,501,0.0802684,0.005
37001,10,1001,0.1031271,0.005
37501,10,1501,0.0689378,0.005
38001,10,2001,0.1609114,0.005
38501,10,2501,0.1200446,0.005
39001,10,3001,0.1728313,0.005
39501,10,3501,0.1386546,0.005
40001,11,1,0.1265976,0.005
40501,11,501,0.1234217,0.005
41001,11,1001,0.1683321,0.005
41501,11,1501,0.0937344,0.005
42001,11,2001,0.1139023,0.005
42501,11,2501,0.1397094,0.005
43001,11,3001,0.2025467,0.005
43501,11,3501,0.1230346,0.005
44001,12,1,0.1214556,0.005
44501,12,501,0.1579291,0.005
45001,12,1001,0.1928696,0.005
45501,12,1501,0.1107762,0.005
46001,12,2001,0.1310760,0.005
46501,12,2501,0.1133684,0.005
47001,12,3001,0.1106311,0.005
47501,12,3501,0.0737688,0.005
48001,13,1,0.1095712,0.005
48501,13,501,0.1071501,0.005
49001,13,1001,0.1127156,0.005
49501,13,1501,0.1238663,0.005
50001,13,2001,0.1080049,0.005
50501,13,2501,0.1017251,0.005
51001,13,3001,0.0981407,0.005
51501,13,3501,0.1060629,0.005
52001,14,1,0.0978440,0.005
52501,14,501,0.1192166,0.005
53001,14,1001,0.0572030,0.005
53501,14,1501,0.1416100,0.005
54001,14,2001,0.1337542,0.005
54501,14,2501,0.0857996,0.005
55001,14,3001,0.1464576,0.005
55501,14,3501,0.1225756,0.005
56001,15,1,0.1448127,0.005
56501,15,501,0.1094544,0.005
57001,15,1001,0.0778998,0.005
57501,15,1501,0.1168722,0.005
58001,15,2001,0.0845343,0.005
58501,15,2501,0.0970633,0.005
59001,15,3001,0.1051560,0.005
59501,15,3501,0.1031747,0.005
60001,16,1,0.1057149,0.005
60501,16,501,0.0999495,0.005
61001,16,1001,0.1271432,0.005
61501,16,1501,0.1006345,0.005
62001,16,2001,0.1286193,0.005
62501,16,2501,0.1490039,0.005
63001,16,3001,0.1466121,0.005
63501,16,3501,0.0838188,0.005
64001,17,1,0.1029426,0.005
64501,17,501,0.0876313,0.005
65001,17,1001,0.1045899,0.005
65501,17,1501,0.1154571,0.005
66001,17,2001,0.1008292,0.005
66501,17,2501,0.1478333,0.005
67001,17,3001,0.1091679,0.005
67501,17,3501,0.1186414,0.005
68001,18,1,0.1107913,0.005
68501,18,501,0.1327711,0.005
