step,epoch,epoch_step,loss,learn_rate
1,1,1,0.0017960,0.005
501,1,501,0.1692758,0.005
1001,1,1001,0.0747122,0.005
1501,1,1501,0.0926054,0.005
2001,1,2001,0.1456393,0.005
2501,1,2501,0.1301531,0.005
3001,1,3001,0.1353996,0.005
3501,1,3501,0.2007784,0.005
4001,1,4001,0.1933282,0.005
4501,1,4501,0.1690485,0.005
5001,1,5001,0.1566317,0.005
5501,1,5501,0.1361746,0.005
6001,1,6001,0.1587528,0.005
6501,1,6501,0.1759846,0.005
7001,1,7001,0.0898658,0.005
7501,1,7501,0.1603938,0.005
8001,1,8001,0.1309105,0.005
8501,1,8501,0.1346555,0.005
9001,1,9001,0.1376259,0.005
9501,1,9501,0.1281956,0.005
10001,1,10001,0.1371837,0.005
10501,1,10501,0.1131407,0.005
11001,1,11001,0.1767226,0.005
11501,1,11501,0.1533901,0.005
12001,1,12001,0.1477337,0.005
12501,1,12501,0.1408494,0.005
13001,1,13001,0.1056377,0.005
13501,1,13501,0.1223600,0.005
14001,1,14001,0.1423706,0.005
14501,1,14501,0.1266668,0.005
15001,1,15001,0.0792139,0.005
15501,1,15501,0.2065031,0.005
16001,1,16001,0.1314911,0.005
16501,1,16501,0.1938008,0.005
17001,1,17001,0.1863800,0.005
17501,1,17501,0.1006812,0.005
18001,1,18001,0.1045190,0.005
18501,1,18501,0.1039070,0.005
19001,1,19001,0.0918603,0.005
19501,1,19501,0.1131271,0.005
20001,1,20001,0.0858643,0.005
20501,1,20501,0.1014004,0.005
21001,1,21001,0.1277603,0.005
21501,1,21501,0.1107549,0.005
22001,1,22001,0.0955897,0.005
22501,1,22501,0.1496426,0.005
23001,1,23001,0.1261157,0.005
23501,1,23501,0.1596340,0.005
24001,1,24001,0.1750137,0.005
24501,1,24501,0.0947743,0.005
25001,1,25001,0.1329082,0.005
25501,1,25501,0.1662446,0.005
26001,1,26001,0.1625825,0.005
26501,1,26501,0.1469505,0.005
27001,1,27001,0.1218142,0.005
27501,1,27501,0.1577201,0.005
28001,1,28001,0.1270191,0.005
28501,1,28501,0.1549647,0.005
29001,1,29001,0.1130383,0.005
29501,1,29501,0.1237001,0.005
30001,1,30001,0.1259265,0.005
30501,1,30501,0.1448509,0.005
31001,1,31001,0.1080110,0.005
