step,epoch,epoch_step,loss,learn_rate
1,1,1,0.0147122,0.005
501,1,501,0.1327838,0.005
1001,1,1001,0.0989117,0.005
1501,1,1501,0.0964826,0.005
2001,1,2001,0.1393478,0.005
2501,1,2501,0.1319932,0.005
3001,1,3001,0.1183108,0.005
3501,1,3501,0.1292297,0.005
4001,1,4001,0.0797256,0.005
4501,1,4501,0.1161002,0.005
5001,1,5001,0.1141478,0.005
5501,1,5501,0.1025835,0.005
6001,1,6001,0.0986405,0.005
6501,1,6501,0.1128920,0.005
7001,1,7001,0.1441303,0.005
7501,1,7501,0.1514410,0.005
8001,2,143,0.1229590,0.005
8501,2,643,0.1025448,0.005
9001,2,1143,0.1375868,0.005
9501,2,1643,0.0911120,0.005
10001,2,2143,0.1616361,0.005
10501,2,2643,0.1168902,0.005
11001,2,3143,0.1421464,0.005
11501,2,3643,0.1357605,0.005
12001,2,4143,0.0899785,0.005
12501,2,4643,0.1016488,0.005
13001,2,5143,0.1449538,0.005
13501,2,5643,0.1087676,0.005
14001,2,6143,0.1054845,0.005
14501,2,6643,0.1184244,0.005
15001,2,7143,0.0816974,0.005
15501,2,7643,0.1147997,0.005
16001,3,285,0.1177847,0.005
16501,3,785,0.0864974,0.005
17001,3,1285,0.0907522,0.005
17501,3,1785,0.1393107,0.005
18001,3,2285,0.1225968,0.005
18501,3,2785,0.1097205,0.005
19001,3,3285,0.1077501,0.005
19501,3,3785,0.0880120,0.005
20001,3,4285,0.1385109,0.005
20501,3,4785,0.1225574,0.005
21001,3,5285,0.0945964,0.005
21501,3,5785,0.1431272,0.005
22001,3,6285,0.1650465,0.005
22501,3,6785,0.1600845,0.005
23001,3,7285,0.1503971,0.005
23501,3,7785,0.1108108,0.005
24001,4,427,0.1190935,0.005
24501,4,927,0.1517479,0.005
25001,4,1427,0.1863137,0.005
25501,4,1927,0.1041108,0.005
26001,4,2427,0.1305616,0.005
26501,4,2927,0.1137294,0.005
27001,4,3427,0.1088428,0.005
27501,4,3927,0.1308935,0.005
28001,4,4427,0.1351792,0.005
28501,4,4927,0.0892871,0.005
29001,4,5427,0.1320806,0.005
29501,4,5927,0.1881196,0.005
30001,4,6427,0.1337217,0.005
30501,4,6927,0.1106821,0.005
31001,4,7427,0.1003825,0.005
31501,5,69,0.1151843,0.005
32001,5,569,0.1300059,0.005
32501,5,1069,0.1242502,0.005
33001,5,1569,0.1384923,0.005
33501,5,2069,0.1068081,0.005
